TimeStamp;Over240P3;Over240P2;Over240P1;1VStepsP3;1VStepsP2;1VStepsP1
2017-05-05 23:16:06.674;Over;Over;Over;;;
2017-05-05 23:16:16.031;Over;Over;Over;;;
2017-05-05 23:16:25.488;Over;Over;Over;;;
2017-05-05 23:16:34.837;Over;Over;Over;;;
2017-05-05 23:16:44.304;Over;Over;Over;;;
2017-05-05 23:16:53.650;Over;Over;Over;;;
2017-05-05 23:17:03.110;Over;Over;;;;
2017-05-05 23:17:12.460;Over;Over;;;;
2017-05-05 23:17:40.730;Over;Over;;;;
2017-05-05 23:17:50.073;Over;Over;;;;
2017-05-05 23:18:08.994;Over;Over;;;;
2017-05-05 23:18:18.371;Over;Over;;;;
2017-05-05 23:18:27.712;Over;Over;;;;
2017-05-05 23:18:37.176;Over;Over;;;;
2017-05-05 23:19:05.343;Over;Over;;;;
2017-05-05 23:19:14.823;Over;Over;;;;
2017-05-05 23:19:24.167;Over;Over;;;;
2017-05-05 23:19:42.986;Over;Over;Over;;;
2017-05-05 23:19:52.478;Over;Over;;;;
2017-05-05 23:20:01.828;Over;Over;;;;
2017-05-05 23:20:11.296;Over;Over;;;;
2017-05-05 23:20:20.644;Over;Over;;;;
2017-05-05 23:20:30.106;Over;Over;;;;
2017-05-05 23:20:39.492;Over;Over;;;;
2017-05-05 23:20:48.947;Over;Over;;;;
2017-05-05 23:20:58.298;Over;Over;;;;
2017-05-05 23:21:07.755;Over;Over;;;;
2017-05-05 23:21:17.124;Over;Over;;;;
2017-05-05 23:21:35.930;Over;Over;;;;
2017-05-05 23:21:54.730;Over;Over;;;;
2017-05-05 23:22:04.209;Over;Over;;;;
2017-05-05 23:22:13.567;Over;Over;;;;
2017-05-05 23:22:23.020;Over;Over;;;;
2017-05-05 23:22:41.747;Over;Over;Over;;;
2017-05-05 23:22:51.200;Over;Over;;;;
2017-05-05 23:23:00.661;Over;Over;;;;
2017-05-05 23:23:10.012;Over;Over;;;;
2017-05-05 23:23:19.364;Over;Over;;;;
2017-05-05 23:23:28.832;Over;Over;Over;;;
2017-05-05 23:23:38.182;Over;Over;Over;;;
2017-05-05 23:23:47.648;Over;Over;Over;;;
2017-05-05 23:23:57.012;Over;Over;Over;;;
2017-05-05 23:24:15.820;Over;Over;;;;
2017-05-05 23:24:25.284;Over;Over;Over;;;
2017-05-05 23:24:44.102;Over;Over;;;;
2017-05-05 23:24:53.444;Over;Over;;;;
2017-05-05 23:25:02.903;Over;Over;;;;
2017-05-05 23:25:12.254;Over;Over;;;;
2017-05-05 23:25:40.550;Over;Over;Over;;;
2017-05-05 23:25:49.888;Over;Over;Over;;;
2017-05-05 23:25:59.366;Over;Over;Over;;;
